index,average_heartrate,average_speed,distance,elapsed_time,start_latitude,start_longitude
2018-01-05 10:59:23,106.4,1.52,7949.40,01:28:40.000000000,48.22,11.29
2018-01-06 12:12:54,96.0,1.25,9725.20,02:20:37.000000000,48.02,11.37
2018-01-07 14:55:21,118.8,1.60,5685.60,00:59:45.000000000,48.22,11.29
2018-01-08 19:54:08,125.7,1.70,6057.40,00:59:29.000000000,48.22,11.29
2018-01-09 20:55:23,118.4,1.74,5909.70,00:57:17.000000000,48.22,11.29
2018-01-10 20:58:40,115.4,1.67,6089.30,01:02:54.000000000,48.22,11.29
2018-01-11 20:10:20,113.5,1.69,5813.90,00:57:25.000000000,48.22,11.29
2018-01-12 18:56:49,114.9,1.65,5932.90,01:00:34.000000000,48.22,11.29
2018-01-13 15:31:56,116.1,1.76,5899.90,00:55:46.000000000,48.22,11.29
2018-01-14 14:30:01,109.0,1.62,6215.10,01:04:51.000000000,48.22,11.29
2018-01-15 20:08:06,117.6,1.73,6011.90,00:58:36.000000000,48.22,11.29
2018-01-20 11:07:55,118.3,1.66,6015.20,01:00:45.000000000,48.22,11.29
2018-01-21 13:11:36,113.4,1.61,6048.10,01:03:36.000000000,48.22,11.29
2018-01-22 14:11:08,121.6,1.57,6002.40,01:05:10.000000000,48.22,11.29
2018-01-23 20:28:07,106.0,1.67,6033.00,01:00:11.000000000,48.22,11.29
2018-01-24 22:49:22,113.3,1.66,3520.80,00:35:53.000000000,48.22,11.29
2018-01-25 20:59:05,110.7,1.70,6021.20,01:00:44.000000000,48.22,11.29
2018-01-26 23:49:23,100.0,1.39,168.10,00:02:23.000000000,48.21,11.3
2018-01-27 15:26:26,107.6,1.59,6006.70,01:02:48.000000000,48.22,11.29
2018-01-28 14:24:29,94.2,1.31,7473.00,01:44:29.000000000,48.22,11.29
2018-01-29 21:02:35,123.7,1.79,6002.10,00:56:39.000000000,48.22,11.29
2018-01-31 20:25:05,121.5,1.74,6030.50,00:58:17.000000000,48.22,11.29
2018-02-01 20:31:13,119.9,1.72,6078.40,00:59:31.000000000,48.22,11.29
2018-02-02 20:42:45,113.0,1.69,5826.30,00:58:11.000000000,48.22,11.29
2018-02-03 15:19:43,124.1,1.87,5972.20,00:53:19.000000000,48.22,11.29
2018-02-04 12:42:53,113.3,1.61,1481.30,00:15:34.000000000,48.22,11.29
2018-02-04 15:35:15,122.2,1.77,6029.80,00:56:53.000000000,48.22,11.29
2018-02-07 20:22:47,120.2,1.62,6143.00,01:03:24.000000000,48.22,11.29
2018-02-08 21:41:04,129.0,1.76,6010.60,00:56:50.000000000,48.22,11.29
2018-02-09 18:26:49,124.9,1.72,6043.30,00:59:22.000000000,48.22,11.29
2018-02-10 16:20:54,135.1,1.83,6145.00,00:56:21.000000000,48.22,11.29
2018-02-11 15:06:39,134.4,1.81,11188.40,01:44:29.000000000,48.22,11.29
2018-02-13 20:47:56,137.4,1.97,6893.50,00:58:50.000000000,48.22,11.29
2018-02-14 20:32:32,143.0,2.01,6029.00,00:49:53.000000000,48.22,11.29
2018-02-16 19:19:31,143.7,2.08,6039.50,00:48:25.000000000,48.22,11.29
2018-02-18 20:23:34,106.5,1.60,6066.40,01:24:27.000000000,35.67,139.77
2018-02-19 20:17:59,111.6,1.73,8010.60,01:43:40.000000000,35.67,139.77
2018-02-21 22:09:45,111.6,1.67,8464.90,01:27:00.000000000,35.67,139.77
2018-02-23 21:54:15,112.2,1.78,7848.90,01:19:47.000000000,35.67,139.77
2018-02-24 08:27:37,108.2,1.72,7197.90,01:13:34.000000000,35.67,139.77
2018-02-24 10:44:37,115.8,1.65,7568.30,01:18:45.000000000,35.68,139.76
2018-03-01 19:20:43,148.6,1.93,6061.60,00:52:33.000000000,48.22,11.29
2018-03-02 07:56:18,77.0,0.00,0.00,00:01:16.000000000,,
2018-03-03 16:18:37,140.0,1.91,6067.10,00:53:48.000000000,48.22,11.29
